,Married/Single,House_Ownership,Car_Ownership,CITY,Age,Experience,CURRENT_JOB_YRS,CURRENT_HOUSE_YRS,Risk_feature
114972,1,2,0,290,50,12,9,14,0
57731,1,2,0,71,58,1,1,14,0
241459,1,2,0,31,26,9,9,12,0
153577,1,2,0,249,66,3,3,13,0
231468,1,2,1,245,51,15,14,14,0
109810,1,2,1,232,57,0,0,12,0
23491,1,2,0,191,29,4,4,12,0
203784,1,2,0,207,66,0,0,13,0
136769,1,2,0,109,52,11,4,14,0
199774,1,2,0,178,48,6,6,10,0
85608,1,2,0,91,69,9,3,14,0
22347,1,2,0,36,21,0,0,14,0
219820,1,2,0,134,58,9,9,14,0
183969,1,2,0,243,66,6,4,10,0
250861,1,2,0,266,42,14,11,14,0
121366,1,2,0,149,48,13,13,13,0
141646,1,2,0,186,46,10,10,10,0
180378,0,2,0,74,42,18,5,12,0
239986,1,2,0,103,77,8,7,14,0
57535,1,2,0,193,78,15,14,12,0
102289,1,2,1,6,74,8,3,14,0
249514,1,2,0,188,55,19,12,14,0
121691,1,2,1,95,63,13,11,13,0
175104,1,2,0,313,45,19,9,14,0
25995,1,2,1,184,41,0,0,10,0
177797,1,2,0,217,40,19,3,13,0
67818,1,2,1,206,79,5,5,11,0
221216,1,2,1,173,43,0,0,11,0
82633,1,2,0,252,63,17,8,10,0
26975,1,2,0,150,77,4,4,14,0
172744,1,2,0,121,78,4,4,11,0
98067,1,2,0,94,39,9,9,14,0
163830,1,2,1,259,61,3,3,12,0
29754,1,2,1,238,39,14,11,11,0
143709,1,0,0,1,34,17,13,13,0
42553,1,2,1,313,69,7,7,12,0
37457,1,2,0,83,71,6,6,11,0
44001,1,2,0,282,72,10,3,11,0
11631,1,2,0,219,77,10,9,14,0
163876,1,2,0,310,65,12,8,11,0
160400,1,2,1,228,28,10,7,14,0
88182,0,2,0,277,46,4,4,14,0
214411,1,2,0,25,70,6,6,12,0
96737,1,2,1,309,56,2,2,13,0
162019,1,2,1,303,72,4,4,14,0
25244,1,2,0,67,37,0,0,11,0
162135,0,2,0,10,68,2,2,11,0
49874,0,1,1,297,27,5,5,12,0
94869,1,2,1,298,48,5,5,13,0
125673,1,2,0,207,69,12,9,13,0
177207,1,2,1,32,32,19,13,12,0
246180,1,2,0,15,44,18,11,12,0
242797,1,2,0,201,38,18,14,13,0
113934,1,2,0,64,45,0,0,13,0
192412,1,2,1,81,49,6,6,11,0
77907,1,1,0,118,54,17,3,14,0
46119,1,2,1,200,54,6,6,13,0
108716,1,2,1,315,47,2,2,11,0
100905,1,2,0,130,38,5,3,11,0
202338,1,2,0,61,77,5,5,13,0
104946,1,2,0,222,71,5,3,10,0
171356,1,2,1,307,63,3,3,12,0
71493,1,2,0,13,75,1,1,12,0
11413,1,2,0,312,23,17,3,11,0
3637,1,2,0,38,65,19,11,12,0
195908,1,2,0,2,48,20,5,10,0
12355,1,2,1,159,23,5,5,14,0
166527,1,2,0,203,77,15,11,10,0
49226,0,2,0,74,26,2,2,12,0
100768,1,2,0,293,49,18,8,14,0
98034,1,2,0,305,67,11,4,12,0
111292,1,2,0,64,60,5,3,12,0
217852,1,2,1,121,32,19,10,13,0
61410,1,2,0,156,50,18,13,13,0
116921,1,2,1,35,59,2,2,11,0
87204,1,2,1,179,47,2,2,12,0
168532,1,2,0,89,51,0,0,12,0
37985,1,2,0,124,24,0,0,13,0
55908,1,1,1,217,63,4,4,13,0
173964,1,2,0,23,44,9,9,13,0
220588,1,2,1,264,76,11,5,12,0
208172,1,2,0,179,65,4,4,13,0
222829,1,2,1,280,24,4,4,13,0
251860,1,2,0,304,51,2,2,14,0
195934,1,2,0,34,56,18,9,10,0
23444,1,2,1,272,30,1,1,11,0
103375,1,2,1,57,41,10,10,13,0
88520,1,2,1,222,70,1,1,11,0
204170,1,2,0,22,40,18,8,13,0
195385,1,2,1,46,58,1,1,13,0
186475,1,2,1,154,43,14,3,11,0
226712,1,2,0,126,40,17,14,14,0
186142,1,2,1,151,53,6,6,10,0
230407,1,2,1,23,71,20,12,13,0
221685,1,2,0,197,76,20,5,14,0
222350,1,2,0,93,37,1,1,10,0
27803,0,2,1,108,67,14,11,14,0
191746,1,2,1,223,47,2,2,14,0
239532,0,2,1,184,29,10,7,13,0
200088,1,2,0,18,43,0,0,12,0
152680,1,2,0,87,58,12,3,14,0
22777,1,2,0,214,55,14,11,13,0
218852,1,2,0,166,21,8,7,12,0
29717,0,2,0,271,26,9,9,14,0
243860,1,2,0,54,47,19,14,13,0
14969,0,2,0,126,74,15,4,11,0
223342,1,2,0,233,73,9,9,10,0
80294,1,2,1,265,41,15,4,12,0
13907,1,2,1,44,38,8,8,13,0
175438,1,2,1,118,73,14,12,12,0
204382,1,2,0,75,52,1,1,10,0
67031,1,2,0,33,70,7,5,14,0
740,1,2,0,22,29,14,4,10,0
13571,0,2,0,271,26,9,9,14,0
131709,1,2,0,129,36,14,7,12,0
158992,1,2,1,130,44,18,12,10,0
197889,1,2,0,125,31,14,7,12,0
80070,1,1,0,158,71,3,3,14,0
165389,1,2,0,121,43,2,2,12,0
146672,1,2,0,140,35,14,8,14,0
129168,1,2,0,167,37,1,1,11,0
217065,0,1,0,238,61,14,10,12,0
172763,0,2,0,312,67,1,1,11,0
133597,1,2,0,306,57,0,0,14,0
38058,1,2,1,189,57,20,8,14,0
193738,1,2,0,56,79,15,5,13,0
194795,1,2,0,297,57,10,10,13,0
7365,1,2,0,1,54,5,5,13,0
7472,1,2,1,253,51,0,0,11,0
221889,1,2,1,65,25,6,6,12,0
240890,1,2,0,177,69,4,4,12,0
143291,0,1,1,285,44,2,2,13,0
161797,1,2,0,277,25,16,3,11,0
228129,1,2,0,288,58,1,1,11,0
26583,1,2,0,53,25,19,5,10,0
205598,1,2,0,99,26,4,4,14,0
228666,1,2,0,157,48,10,10,11,0
224773,0,2,1,97,76,11,6,14,0
115590,1,1,1,48,75,10,10,11,0
21555,1,2,0,103,45,4,4,14,0
227690,0,2,0,312,75,15,9,11,0
169100,1,2,0,299,65,4,4,14,0
249433,1,2,0,209,64,4,3,12,0
146113,1,2,0,310,76,6,6,10,0
61001,1,0,0,235,48,11,3,13,0
46252,1,2,0,78,31,20,11,10,0
12053,1,2,1,269,71,9,3,11,0
245001,1,2,0,225,51,3,3,12,0
7846,1,2,1,15,70,6,6,14,0
65138,1,0,0,99,61,2,2,10,0
122469,1,2,1,209,55,4,4,10,0
231286,0,2,0,225,31,9,5,13,0
209665,1,2,0,288,67,14,7,14,0
57901,1,2,1,102,39,4,4,14,0
234022,1,2,0,238,36,10,10,12,0
169902,1,2,1,256,61,2,2,12,0
94963,1,2,0,0,41,13,5,10,0
26501,0,2,1,214,44,14,11,13,0
125429,1,2,1,180,63,6,6,14,0
214998,1,2,1,43,58,10,10,13,0
184532,1,2,1,223,73,9,9,10,0
237977,1,2,0,88,27,14,3,14,0
142373,1,2,0,181,55,17,8,13,0
166513,1,1,0,113,41,16,9,11,0
151444,1,2,1,187,57,15,13,13,0
63084,1,2,0,90,51,7,7,12,0
55718,1,2,0,221,37,14,3,12,0
203199,1,2,0,130,57,11,11,11,0
10447,1,2,0,253,26,10,4,12,0
239580,1,2,0,202,43,12,7,14,0
19646,1,2,1,222,76,3,3,10,0
47560,1,1,0,146,78,19,12,12,0
81843,1,2,0,281,64,4,3,12,0
201081,1,2,0,312,69,0,0,13,0
239261,1,2,1,21,57,0,0,14,0
22502,1,2,0,236,25,9,6,11,0
98215,1,2,1,164,44,1,1,12,0
200470,0,2,1,60,34,3,3,12,0
51813,1,2,0,57,43,13,4,10,0
73521,1,2,0,57,51,4,4,13,0
194276,1,2,1,119,58,20,14,10,0
98718,1,2,1,292,41,0,0,14,0
41067,1,2,0,171,67,15,9,10,0
36192,1,2,1,191,23,3,3,13,0
143351,1,2,0,281,73,17,9,14,0
231636,1,2,1,264,62,1,1,14,0
122544,1,2,0,218,73,1,1,10,0
3506,1,1,1,262,63,10,8,13,0
220447,1,2,0,17,67,19,14,11,0
29204,1,2,0,278,70,3,3,11,0
212635,1,2,0,313,63,7,4,10,0
110197,1,2,1,284,45,1,1,11,0
35816,1,1,0,251,78,19,11,10,0
51292,1,2,1,253,30,9,3,14,0
187906,1,2,0,101,21,5,5,12,0
28233,1,2,0,70,30,12,9,11,0
224353,1,2,1,184,57,18,12,13,0
210932,1,2,0,190,55,2,2,10,0
68937,1,2,0,238,71,5,5,13,0
201451,0,2,1,163,22,6,6,14,0
157971,1,2,0,172,65,15,6,11,0
231182,1,2,0,249,28,20,4,11,0
140638,1,2,0,192,69,8,8,13,0
123275,1,2,1,276,22,8,8,10,0
48689,1,2,0,22,23,5,5,13,0
150839,1,2,0,253,26,10,4,12,0
122076,1,2,0,179,38,12,8,11,0
129497,1,2,1,261,49,5,5,11,0
59224,1,1,1,7,75,20,3,12,0
155571,1,2,0,27,52,7,7,12,0
103825,1,2,0,101,40,9,9,10,0
85277,1,2,0,19,70,10,4,14,0
227647,1,2,1,251,37,12,12,10,0
21152,1,1,0,107,65,10,10,12,0
102711,0,2,0,229,78,7,3,11,0
248191,1,2,0,66,45,14,3,12,0
105043,1,2,1,113,73,13,3,12,0
42367,1,2,0,69,23,5,5,12,0
85524,1,2,0,78,23,11,11,12,0
32898,1,2,0,273,78,9,9,12,0
192828,1,2,0,208,25,19,8,14,0
116631,1,2,0,168,43,8,8,10,0
77213,1,1,0,123,59,2,2,13,0
160496,1,0,0,34,31,19,9,14,0
234019,0,2,0,22,66,20,4,12,0
193658,1,2,0,291,52,15,12,14,0
182799,1,2,0,38,32,5,5,10,0
163237,1,2,0,33,74,1,1,11,0
149216,1,1,0,202,71,2,2,14,0
247947,1,1,1,249,66,6,6,11,0
39072,1,2,0,115,52,7,5,14,0
172446,1,2,0,164,55,15,3,12,0
132497,1,2,1,73,53,5,5,12,0
7871,1,2,0,197,29,6,6,14,0
194207,1,2,0,125,37,1,1,11,0
103340,1,2,0,222,75,19,9,12,0
191971,1,2,1,197,49,18,11,11,0
54453,1,2,0,66,68,20,7,10,0
85130,1,2,0,108,25,12,11,12,0
221772,1,2,0,52,62,14,5,14,0
142271,1,2,0,133,71,14,8,12,0
8017,1,2,0,156,68,4,4,13,0
191387,1,2,0,160,52,12,3,13,0
101506,1,2,0,101,21,5,5,12,0
68373,1,2,1,106,66,6,6,13,0
225717,1,2,1,23,72,16,12,11,0
233564,0,2,1,29,29,18,4,10,0
205217,1,2,1,205,29,18,10,14,0
162447,1,2,0,316,49,16,6,13,0
199820,1,2,0,1,67,8,8,11,0
114149,1,2,1,96,49,12,3,11,0
228203,1,2,0,23,73,3,3,11,0
9573,1,2,0,227,45,0,0,10,0
163030,1,2,0,226,36,18,13,14,0
74559,1,2,0,17,66,13,11,14,0
186975,1,2,1,84,61,6,6,10,0
89029,1,2,1,313,28,15,10,10,0
164665,1,2,1,180,21,8,4,13,0
135120,0,2,1,210,21,10,5,13,0
37426,0,2,1,70,70,0,0,12,0
20315,1,0,0,148,74,4,4,11,0
208428,1,2,0,227,77,5,4,10,0
15946,1,2,0,241,52,8,8,14,0
203683,1,2,0,17,31,18,13,10,0
11719,1,1,0,84,55,5,3,10,0
63162,1,2,0,20,41,16,9,11,0
243801,1,2,0,291,66,0,0,11,0
227217,1,2,1,45,31,13,9,10,0
102883,1,2,0,58,30,6,6,10,0
52475,1,2,0,219,57,6,6,10,0
153839,1,0,0,308,63,7,5,10,0
195052,0,2,0,316,29,0,0,10,0
83709,0,2,0,1,39,12,12,10,0
135779,1,2,1,179,47,2,2,12,0
240079,1,2,0,135,76,4,4,14,0
208575,1,2,0,15,39,2,2,10,0
88422,1,2,1,134,50,4,4,14,0
203238,1,2,0,290,68,15,8,14,0
28403,1,2,0,313,52,12,12,12,0
134009,1,2,0,119,24,11,5,14,0
195744,0,2,1,39,33,10,10,11,0
94628,0,2,0,9,56,20,7,12,0
107233,1,2,1,38,33,4,4,13,0
187188,1,2,0,9,72,9,5,10,0
167769,1,2,0,85,47,1,1,10,0
96144,1,2,0,52,32,5,3,12,0
94178,1,2,0,169,45,19,5,12,0
91596,1,2,0,250,30,12,4,11,0
44617,1,2,1,114,69,7,7,13,0
50934,1,2,0,299,37,12,10,10,0
176562,1,2,0,39,60,8,3,12,0
132322,1,2,1,137,45,14,4,10,0
206877,1,2,0,256,35,14,14,11,0
38031,1,2,0,97,26,6,6,14,0
230548,1,2,1,289,60,12,10,10,0
212387,1,2,0,22,38,5,5,12,0
41178,1,2,1,276,21,11,11,11,0
164187,1,2,1,77,60,3,3,11,0
138967,1,2,0,25,66,20,8,11,0
87042,1,2,0,115,52,15,9,11,0
141020,1,2,0,113,61,17,7,13,0
475,1,2,0,292,68,13,13,14,0
92000,1,2,1,31,70,20,7,14,0
57348,1,2,0,156,65,1,1,10,0
190474,1,2,1,218,31,1,1,10,0
68429,1,2,0,38,65,19,11,12,0
245475,1,2,1,82,39,15,10,12,0
35656,1,2,0,24,57,7,5,14,0
152234,1,2,1,119,34,11,9,12,0
146750,1,2,0,258,23,18,6,13,0
79172,1,2,1,242,65,20,4,12,0
72910,1,2,0,10,66,10,7,14,0
186579,0,2,0,117,65,19,4,12,0
129556,1,2,0,159,32,7,7,14,0
74440,1,0,0,243,72,13,13,10,0
216778,1,2,0,215,75,6,4,12,0
1520,0,2,0,199,24,10,10,12,0
192959,1,2,0,255,50,9,4,11,0
179577,1,2,0,160,53,5,5,12,0
214738,1,2,0,53,33,12,8,10,0
46052,1,2,0,138,50,19,4,12,0
59822,1,2,0,261,30,8,6,11,0
189400,0,2,0,193,48,2,2,13,0
203031,1,2,1,191,33,4,4,10,0
205404,1,2,0,146,55,13,11,14,0
177419,1,2,0,136,76,3,3,14,0
102561,1,2,0,12,24,7,7,10,0
166608,1,2,1,144,61,16,9,11,0
192272,1,2,0,151,39,3,3,14,0
46237,1,0,0,200,50,1,1,12,0
232714,0,2,0,183,79,19,13,12,0
69789,1,2,1,48,75,14,3,14,0
144871,0,2,0,277,61,16,11,12,0
178206,1,2,0,90,57,13,5,10,0
131105,1,2,0,228,32,8,4,13,0
90942,1,2,1,312,54,13,12,14,0
135353,1,2,0,267,79,14,14,11,0
104436,1,2,1,195,52,20,9,12,0
117208,1,2,0,126,38,9,7,14,0
153446,1,2,0,257,62,16,9,10,0
37702,0,2,0,8,66,4,4,10,0
209685,1,2,0,233,51,19,6,14,0
176185,1,2,0,174,66,17,14,14,0
9232,1,2,0,208,25,19,8,14,0
68286,1,2,0,157,34,12,4,14,0
36047,1,2,0,312,59,2,2,14,0
167965,1,2,0,249,47,19,6,13,0
139079,0,2,1,77,78,1,1,14,0
25915,1,2,1,272,45,10,8,10,0
229568,1,2,0,262,60,5,5,10,0
14384,1,2,0,156,40,4,4,14,0
165314,1,2,0,54,63,12,4,14,0
239317,1,2,0,6,66,8,7,12,0
95352,1,2,0,210,69,1,1,12,0
23850,1,2,0,190,46,8,5,11,0
88076,1,2,0,225,72,17,4,12,0
52782,1,2,1,34,62,19,6,11,0
31872,1,2,0,234,61,3,3,12,0
145179,1,2,0,249,68,10,10,12,0
97225,1,2,0,250,42,17,4,12,0
2757,1,2,1,280,22,4,4,10,0
92563,0,2,1,77,77,1,1,14,0
101983,1,1,0,176,55,20,9,14,0
261,1,1,0,231,57,19,14,14,0
182893,1,2,0,211,51,12,8,10,0
114393,1,2,0,214,62,16,4,12,0
117381,1,2,1,209,41,18,5,13,0
32539,1,2,0,218,24,16,10,14,0
216525,1,2,0,172,64,1,1,11,0
164943,1,2,1,147,77,17,13,14,0
109114,1,2,0,313,74,13,4,13,0
50891,1,2,0,129,61,13,12,11,0
158954,1,2,0,17,55,18,7,12,0
147704,1,2,0,18,79,0,0,10,0
21980,1,2,0,38,57,6,6,11,0
209900,0,2,0,81,61,20,11,14,0
137151,1,1,0,273,49,8,8,14,0
145255,1,2,0,116,61,14,14,14,0
96644,0,2,0,291,59,6,6,14,0
250917,0,2,0,5,60,3,3,12,0
91008,1,2,1,114,64,1,1,13,0
198796,1,2,0,262,49,18,14,10,0
128004,0,2,0,5,33,3,3,11,0
140052,1,2,1,30,58,2,2,12,0
15933,1,2,0,193,27,16,14,10,0
23508,1,2,1,260,34,3,3,12,0
126437,1,2,0,275,64,10,8,10,0
30419,1,2,0,51,60,14,4,13,0
174544,1,2,1,202,78,7,4,11,0
90366,1,2,0,166,60,14,8,14,0
106892,1,2,0,96,34,2,2,13,0
179314,1,2,0,243,30,0,0,11,0
236087,1,2,1,90,64,19,11,12,0
183650,0,2,0,188,60,4,4,13,0
182464,1,2,0,150,67,7,7,12,0
251206,1,1,0,205,31,2,2,13,0
108732,1,2,0,222,75,19,9,12,0
1235,1,2,0,34,40,16,6,13,0
32922,1,2,0,29,26,3,3,14,0
191980,1,2,1,70,49,15,3,12,0
13581,1,2,0,13,29,17,12,12,0
134147,1,2,0,271,73,0,0,14,0
84341,1,2,1,39,25,18,13,11,0
28849,1,1,0,21,27,15,13,10,0
25486,1,2,0,203,21,4,4,14,0
8778,1,2,1,50,69,11,7,10,0
55341,1,2,0,121,65,20,13,13,0
76543,1,2,0,256,58,19,12,14,0
3046,1,2,0,141,74,13,3,13,0
156317,0,2,0,106,40,11,5,12,0
7153,1,2,0,121,59,19,5,14,0
12931,1,2,0,210,38,5,5,13,0
125543,1,2,1,287,44,12,3,13,0
212931,0,2,0,232,52,12,9,13,0
27438,1,2,0,153,71,12,11,13,0
246398,1,2,0,9,70,18,6,11,0
153506,1,2,1,152,68,1,1,12,0
144344,1,2,0,306,57,0,0,14,0
233692,1,2,1,194,39,14,12,12,0
115793,1,1,0,205,64,13,6,13,0
37254,1,2,0,299,63,18,14,12,0
209743,1,2,0,238,30,10,10,12,0
181909,0,2,1,34,21,15,3,11,0
190138,1,2,0,11,40,5,5,14,0
10973,0,2,0,208,71,15,3,12,0
70155,1,2,0,123,39,9,4,13,0
62528,1,2,0,63,58,19,9,12,0
53025,1,2,1,216,22,14,5,10,0
34971,1,2,1,91,53,9,7,11,0
22521,1,2,0,262,33,20,11,11,0
22422,1,2,0,215,45,1,1,11,0
97930,1,2,1,299,63,9,5,13,0
187511,1,2,0,154,62,8,8,10,0
6048,1,2,0,261,70,7,7,14,0
154933,1,2,0,48,56,15,13,12,0
197651,1,2,0,177,63,1,1,10,0
250757,1,2,1,273,47,15,4,11,0
11546,1,2,0,283,45,4,4,10,0
236728,1,1,1,194,68,19,3,10,0
130081,1,2,0,213,54,13,5,10,0
133644,1,2,1,307,63,3,3,12,0
194723,1,2,1,177,69,5,5,13,0
161313,0,2,0,90,39,19,13,11,0
145604,0,2,0,190,67,9,9,10,0
114819,1,2,0,160,53,5,5,12,0
107180,1,2,0,1,54,16,9,11,0
99265,1,2,1,241,69,16,8,14,0
95667,1,2,1,212,70,10,7,11,0
183117,0,2,1,275,34,2,2,11,0
78412,1,2,1,25,33,11,8,11,0
13520,1,2,0,191,37,10,10,13,0
209594,1,2,0,79,41,7,6,10,0
153495,1,2,1,184,27,5,4,12,0
164100,1,2,1,298,65,16,10,10,0
27122,1,2,0,14,66,20,11,11,0
178126,1,1,1,75,79,10,8,10,0
108934,0,2,1,165,76,12,4,10,0
201184,1,2,0,282,71,14,9,12,0
4115,1,2,0,225,48,8,8,10,0
97296,1,2,0,246,35,15,13,10,0
132529,0,2,0,311,23,20,8,12,0
134584,1,2,0,80,58,12,6,13,0
18035,1,2,0,60,31,2,2,10,0
47476,1,2,0,255,26,0,0,12,0
54405,1,2,0,73,71,3,3,13,0
127977,1,2,0,36,67,1,1,11,0
142290,0,2,0,203,29,5,5,13,0
25893,1,2,1,43,58,10,10,13,0
135481,1,2,0,304,60,14,5,13,0
49292,1,2,0,204,63,19,12,11,0
63391,1,2,1,28,45,10,5,13,0
41485,0,2,0,106,32,15,4,12,0
107505,1,2,1,1,54,0,0,13,0
2057,1,2,0,195,54,20,8,11,0
208875,1,2,0,207,56,15,6,10,0
31930,1,2,1,238,58,9,5,13,0
112101,1,2,0,229,47,2,2,13,0
98208,1,2,0,179,48,0,0,10,0
140098,1,2,0,83,71,6,6,11,0
180734,1,1,0,29,48,12,12,12,0
99570,0,2,1,284,31,9,9,12,0
173547,1,2,0,48,42,1,1,11,0
27297,1,2,0,140,65,14,3,11,0
144970,1,2,0,145,51,7,4,10,0
181627,1,1,0,66,31,14,12,12,0
149744,1,2,0,244,27,19,13,11,0
242669,1,2,0,145,28,2,2,13,0
245772,1,2,0,282,49,10,10,11,0
168452,1,2,0,251,58,9,9,11,0
73455,1,1,0,115,75,2,2,12,0
19151,1,2,1,99,33,1,1,14,0
26315,1,2,1,198,29,2,2,11,0
12895,0,2,0,204,32,7,7,11,0
9235,1,2,1,236,25,2,2,11,0
101112,1,2,0,97,76,8,8,11,0
17074,1,2,0,147,40,1,1,11,0
62720,1,1,0,305,77,20,10,10,0
223000,0,2,1,228,34,11,9,11,0
194788,0,2,0,227,24,3,3,14,0
249380,1,0,0,182,53,14,4,13,0
213146,0,2,0,290,61,15,10,10,0
131949,1,2,0,75,67,9,9,13,0
238080,0,2,0,160,40,10,6,13,0
80201,1,2,1,177,50,17,5,11,0
215361,1,2,0,233,73,4,4,13,0
60702,1,2,0,292,58,3,3,13,0
168292,1,2,0,47,71,5,5,12,0
127075,1,2,1,201,57,17,7,14,0
60622,1,2,1,188,70,6,6,14,0
192769,0,2,0,5,33,3,3,11,0
223263,1,2,1,4,37,19,14,11,0
185467,1,2,0,93,78,8,8,12,0
137165,1,2,0,265,21,6,6,11,0
229853,1,2,1,105,29,3,3,11,0
25086,1,2,0,26,60,4,4,12,0
100106,1,2,1,47,27,19,8,12,0
193642,1,2,0,136,76,3,3,14,0
101879,1,2,0,228,35,19,3,11,0
42182,1,2,1,56,55,15,13,12,0
44891,1,1,1,295,53,1,1,12,0
248469,1,2,1,256,59,9,9,13,0
168928,1,2,1,174,38,19,9,14,0
1940,1,2,0,108,58,1,1,14,0
158433,1,2,1,54,28,20,5,11,0
92823,1,0,1,313,50,9,8,10,0
340,1,2,0,193,55,10,8,11,0
147480,1,2,0,40,53,5,5,14,0
142543,1,2,1,185,24,19,13,13,0
173293,1,2,0,75,29,6,6,13,0
177275,0,2,0,86,62,15,4,10,0
179864,1,2,0,96,64,19,5,10,0
199741,1,2,0,151,31,14,13,13,0
247578,1,2,0,132,70,16,3,14,0
28083,0,2,1,67,53,13,6,10,0
166241,1,2,0,110,25,0,0,12,0
105537,1,2,0,219,71,16,7,11,0
57295,1,2,0,57,51,4,4,13,0
148701,1,2,1,127,47,4,4,11,0
108662,1,2,0,261,70,7,7,14,0
89476,1,2,0,247,47,3,3,10,0
148528,1,2,0,13,78,18,12,12,0
176554,1,2,1,217,50,14,8,13,0
189260,1,2,0,179,71,3,3,13,0
129436,1,2,0,125,37,1,1,11,0
65169,0,2,0,15,62,5,5,12,0
36431,1,2,0,48,63,12,7,11,0
129928,1,2,0,55,36,11,4,10,0
171874,1,2,0,238,30,10,10,12,0
149640,1,2,0,33,41,5,4,11,0
234767,1,2,0,224,39,15,12,11,0
162409,1,2,1,106,39,12,12,13,0
34477,1,0,0,181,37,17,5,10,0
70478,1,2,0,137,48,3,3,14,0
125436,1,2,1,270,65,20,4,10,0
40260,1,2,0,53,79,4,3,11,0
38404,1,1,1,126,76,16,14,13,0
18593,1,0,1,311,33,20,4,11,0
38287,1,2,0,75,29,6,6,13,0
244776,1,2,0,108,39,16,3,11,0
184214,0,2,0,316,29,0,0,10,0
229103,1,2,0,2,35,2,2,11,0
208912,0,2,0,297,26,17,5,13,0
113814,1,2,0,226,47,7,7,11,0
